R-HSA-442745;Activation of CaMK IV
R-HSA-211227;Activation of DNA fragmentation factor
R-HSA-539107;Activation of E2F1 target genes at G1/S
R-HSA-1296041;Activation of G protein gated Potassium channels
R-HSA-991365;Activation of GABAB receptors
R-HSA-5619507;Activation of HOX genes during differentiation
R-HSA-936964;Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
R-HSA-1592389;Activation of Matrix Metalloproteinases
R-HSA-1169091;Activation of NF-kappaB in B cells
R-HSA-2980767;Activation of NIMA Kinases NEK9, NEK6, NEK7
R-HSA-442755;Activation of NMDA receptor and postsynaptic events
R-HSA-111448;Activation of NOXA and translocation to mitochondria
R-HSA-451307;Activation of Na-permeable kainate receptors
R-HSA-629602;Activation of Nicotinic Acetylcholine Receptors
R-HSA-2151209;Activation of PPARGC1A (PGC-1alpha) by phosphorylation
R-HSA-139915;Activation of PUMA and translocation to mitochondria
R-HSA-428540;Activation of RAC1
R-HSA-1169092;Activation of RAS in B cells
R-HSA-5635838;Activation of SMO
R-HSA-187015;Activation of TRKA receptors
R-HSA-5617472;Activation of anterior HOX genes in hindbrain development during early embryogenesis
R-HSA-111459;Activation of caspases through apoptosome-mediated cleavage
R-HSA-2426168;Activation of gene expression by SREBF (SREBP)
R-HSA-451326;Activation of kainate receptors upon glutamate binding
R-HSA-450341;Activation of the AP-1 family of transcription factors
R-HSA-8866907;Activation of the TFAP2 (AP-2) family of transcription factors
R-HSA-72662;Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S
R-HSA-2485179;Activation of the phototransduction cascade
R-HSA-68962;Activation of the pre-replicative complex
R-HSA-75108;Activation, myristolyation of BID and translocation to mitochondria
R-HSA-114294;Activation, translocation and oligomerization of BAX
R-HSA-1482798;Acyl chain remodeling of CL
R-HSA-1482883;Acyl chain remodeling of DAG and TAG
R-HSA-1482788;Acyl chain remodelling of PC
R-HSA-1482839;Acyl chain remodelling of PE
R-HSA-1482925;Acyl chain remodelling of PG
R-HSA-1482922;Acyl chain remodelling of PI
R-HSA-1482801;Acyl chain remodelling of PS
R-HSA-1280218;Adaptive Immune System
R-HSA-417973;Adenosine P1 receptors
R-HSA-170660;Adenylate cyclase activating pathway
R-HSA-170670;Adenylate cyclase inhibitory pathway
R-HSA-418990;Adherens junctions interactions
R-HSA-392023;Adrenaline signalling through Alpha-2 adrenergic receptor
R-HSA-400042;Adrenaline,noradrenaline inhibits insulin secretion
R-HSA-390696;Adrenoceptors
R-HSA-879415;Advanced glycosylation endproduct receptor signaling
R-HSA-5423646;Aflatoxin activation and detoxification
R-HSA-351143;Agmatine biosynthesis
R-HSA-1462054;Alpha-defensins
R-HSA-389599;Alpha-oxidation of phytanate
R-HSA-173736;Alternative complement activation
R-HSA-140179;Amine Oxidase reactions
R-HSA-375280;Amine ligand-binding receptors
R-HSA-209776;Amine-derived hormones
R-HSA-156587;Amino Acid conjugation
R-HSA-70614;Amino acid synthesis and interconversion (transamination)
R-HSA-352230;Amino acid transport across the plasma membrane
R-HSA-141444;Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
R-HSA-141424;Amplification of signal from the kinetochores
R-HSA-977225;Amyloid fiber formation
R-HSA-2214320;Anchoring fibril formation
R-HSA-5620912;Anchoring of the basal body to the plasma membrane
R-HSA-193048;Androgen biosynthesis
R-HSA-2473224;Antagonism of Activin by Follistatin
R-HSA-983170;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
R-HSA-983695;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
R-HSA-1236975;Antigen processing-Cross presentation
R-HSA-983168;Antigen processing: Ubiquitination & Proteasome degradation
R-HSA-6803157;Antimicrobial peptides
R-HSA-1169410;Antiviral mechanism by IFN-stimulated genes
R-HSA-109581;Apoptosis
R-HSA-140342;Apoptosis induced DNA fragmentation
R-HSA-351906;Apoptotic cleavage of cell adhesion  proteins
R-HSA-111465;Apoptotic cleavage of cellular proteins
R-HSA-75153;Apoptotic execution  phase
R-HSA-111471;Apoptotic factor-mediated response
R-HSA-445717;Aquaporin-mediated transport
R-HSA-426048;Arachidonate production from DAG
R-HSA-2142753;Arachidonic acid metabolism
R-HSA-211957;Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2
R-HSA-8937144;Aryl hydrocarbon receptor signalling
R-HSA-446203;Asparagine N-linked glycosylation
R-HSA-175474;Assembly Of The HIV Virion
R-HSA-168316;Assembly of Viral Components at the Budding Site
R-HSA-8963889;Assembly of active LPL and LIPC lipase complexes
R-HSA-2022090;Assembly of collagen fibrils and other multimeric structures
R-HSA-68616;Assembly of the ORC complex at the origin of replication
R-HSA-68867;Assembly of the pre-replicative complex
R-HSA-390471;Association of TriC/CCT with target proteins during biosynthesis
R-HSA-69298;Association of licensing factors with the pre-replicative complex
R-HSA-210455;Astrocytic Glutamate-Glutamine Uptake And Metabolism
R-HSA-4608870;Asymmetric localization of PCP proteins
R-HSA-162791;Attachment of GPI anchor to uPAR
R-HSA-3371568;Attenuation phase
R-HSA-174084;Autodegradation of Cdh1 by Cdh1:APC/C
R-HSA-349425;Autodegradation of the E3 ubiquitin ligase COP1
R-HSA-177539;Autointegration results in viral DNA circles
R-HSA-422475;Axon guidance
R-HSA-193634;Axonal growth inhibition (RHOA activation)
R-HSA-209563;Axonal growth stimulation
R-HSA-5250924;B-WICH complex positively regulates rRNA expression
R-HSA-5620922;BBSome-mediated cargo-targeting to cilium
R-HSA-111453;BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
R-HSA-1368108;BMAL1:CLOCK,NPAS2 activates circadian gene expression
R-HSA-73884;Base Excision Repair
R-HSA-73929;Base-Excision Repair, AP Site Formation
R-HSA-210991;Basigin interactions
R-HSA-1461957;Beta defensins
R-HSA-77352;Beta oxidation of butanoyl-CoA to acetyl-CoA
R-HSA-77346;Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
R-HSA-77350;Beta oxidation of hexanoyl-CoA to butanoyl-CoA
R-HSA-77310;Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
R-HSA-77285;Beta oxidation of myristoyl-CoA to lauroyl-CoA
R-HSA-77348;Beta oxidation of octanoyl-CoA to hexanoyl-CoA
R-HSA-77305;Beta oxidation of palmitoyl-CoA to myristoyl-CoA
R-HSA-3858494;Beta-catenin independent WNT signaling
R-HSA-196299;Beta-catenin phosphorylation cascade
R-HSA-389887;Beta-oxidation of pristanoyl-CoA
R-HSA-390247;Beta-oxidation of very long chain fatty acids
R-HSA-425381;Bicarbonate transporters
R-HSA-194068;Bile acid and bile salt metabolism
R-HSA-2173782;Binding and Uptake of Ligands by Scavenger Receptors
R-HSA-173107;Binding and entry of HIV virion
R-HSA-4411364;Binding of TCF/LEF:CTNNB1 to target gene promoters
R-HSA-141333;Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
R-HSA-211859;Biological oxidations
R-HSA-2466712;Biosynthesis of A2E, implicated in retinal degradation
R-HSA-446193;Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein
R-HSA-196780;Biotin transport and metabolism
R-HSA-70895;Branched-chain amino acid catabolism
R-HSA-352238;Breakdown of the nuclear lamina
R-HSA-168302;Budding
R-HSA-162588;Budding and maturation of HIV virion
R-HSA-450385;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
R-HSA-8851680;Butyrophilin (BTN) family interactions
R-HSA-5621481;C-type lectin receptors (CLRs)
R-HSA-75102;C6 deamination of adenosine
R-HSA-5218900;CASP8 activity is inhibited
R-HSA-5621575;CD209 (DC-SIGN) signaling
R-HSA-5690714;CD22 mediated BCR regulation
R-HSA-389356;CD28 co-stimulation
R-HSA-389357;CD28 dependent PI3K/Akt signaling
R-HSA-389359;CD28 dependent Vav1 pathway
R-HSA-68689;CDC6 association with the ORC:origin complex
R-HSA-69017;CDK-mediated phosphorylation and removal of Cdc6
R-HSA-375170;CDO in myogenesis
R-HSA-68827;CDT1 association with the CDC6:ORC:origin complex
R-HSA-447041;CHL1 interactions
R-HSA-5607763;CLEC7A (Dectin-1) induces NFAT activation
R-HSA-5607764;CLEC7A (Dectin-1) signaling
R-HSA-5660668;CLEC7A/inflammasome pathway
R-HSA-6811434;COPI-dependent Golgi-to-ER retrograde traffic
R-HSA-6811436;COPI-independent Golgi-to-ER retrograde traffic
R-HSA-6807878;COPI-mediated anterograde transport
R-HSA-204005;COPII (Coat Protein 2) Mediated Vesicle Transport
R-HSA-140180;COX reactions
R-HSA-199920;CREB phosphorylation
R-HSA-442720;CREB phosphorylation through the activation of Adenylate Cyclase
R-HSA-442729;CREB phosphorylation through the activation of CaMKII
R-HSA-442717;CREB phosphorylation through the activation of CaMKK
R-HSA-442742;CREB phosphorylation through the activation of Ras
R-HSA-8874211;CREB3 factors activate genes
R-HSA-399956;CRMPs in Sema3A signaling
R-HSA-2024101;CS/DS degradation
R-HSA-389513;CTLA4 inhibitory signaling
R-HSA-211999;CYP2E1 reactions
R-HSA-111996;Ca-dependent events
R-HSA-1296052;Ca2+ activated K+ channels
R-HSA-4086398;Ca2+ pathway
R-HSA-111997;CaM pathway
R-HSA-111932;CaMK IV-mediated phosphorylation of CREB
R-HSA-2025928;Calcineurin activates NFAT
R-HSA-419812;Calcitonin-like ligand receptors
R-HSA-111933;Calmodulin induced events
R-HSA-901042;Calnexin/calreticulin cycle
R-HSA-111957;Cam-PDE 1 activation
R-HSA-72737;Cap-dependent Translation Initiation
R-HSA-8955332;Carboxyterminal post-translational modifications of tubulin
R-HSA-5576891;Cardiac conduction
R-HSA-5694530;Cargo concentration in the ER
R-HSA-8856825;Cargo recognition for clathrin-mediated endocytosis
R-HSA-5620920;Cargo trafficking to the periciliary membrane
R-HSA-71262;Carnitine synthesis
R-HSA-5357769;Caspase activation via extrinsic apoptotic signalling pathway
R-HSA-264870;Caspase-mediated cleavage of cytoskeletal proteins
R-HSA-5661270;Catabolism of glucuronate to xylulose-5-phosphate
R-HSA-209905;Catecholamine biosynthesis
R-HSA-426117;Cation-coupled Chloride cotransporters
R-HSA-174184;Cdc20:Phospho-APC/C mediated degradation of Cyclin A
R-HSA-1640170;Cell Cycle
R-HSA-69620;Cell Cycle Checkpoints
R-HSA-69278;Cell Cycle, Mitotic
R-HSA-204998;Cell death signalling via NRAGE, NRIF and NADE
R-HSA-446728;Cell junction organization
R-HSA-1222541;Cell redox homeostasis
R-HSA-202733;Cell surface interactions at the vascular wall
R-HSA-1500931;Cell-Cell communication
R-HSA-421270;Cell-cell junction organization
R-HSA-446353;Cell-extracellular matrix interactions
R-HSA-2559583;Cellular Senescence
R-HSA-189200;Cellular hexose transport
R-HSA-3371556;Cellular response to heat stress
R-HSA-2262749;Cellular response to hypoxia
R-HSA-8953897;Cellular responses to external stimuli
R-HSA-2262752;Cellular responses to stress
R-HSA-380287;Centrosome maturation
R-HSA-193681;Ceramide signalling
R-HSA-163765;ChREBP activates metabolic gene expression
R-HSA-390466;Chaperonin-mediated protein folding
R-HSA-380108;Chemokine receptors bind chemokines
R-HSA-75035;Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
R-HSA-191273;Cholesterol biosynthesis
R-HSA-6807047;Cholesterol biosynthesis via desmosterol
R-HSA-6807062;Cholesterol biosynthesis via lathosterol
R-HSA-6798163;Choline catabolism
R-HSA-2022870;Chondroitin sulfate biosynthesis
R-HSA-1793185;Chondroitin sulfate/dermatan sulfate metabolism
R-HSA-3247509;Chromatin modifying enzymes
R-HSA-4839726;Chromatin organization
R-HSA-73886;Chromosome Maintenance
R-HSA-8963888;Chylomicron assembly
R-HSA-8964026;Chylomicron clearance
R-HSA-8963901;Chylomicron remodeling
R-HSA-5617833;Cilium Assembly
R-HSA-400253;Circadian Clock
R-HSA-71403;Citric acid cycle (TCA cycle)
R-HSA-373076;Class A/1 (Rhodopsin-like receptors)
R-HSA-373080;Class B/2 (Secretin family receptors)
R-HSA-420499;Class C/3 (Metabotropic glutamate/pheromone receptors)
R-HSA-983169;Class I MHC mediated antigen processing & presentation
R-HSA-1296053;Classical Kir channels
R-HSA-173623;Classical antibody-mediated complement activation
R-HSA-421837;Clathrin derived vesicle budding
R-HSA-8856828;Clathrin-mediated endocytosis
R-HSA-2993913;Clearance of Nuclear Envelope Membranes from Chromatin
R-HSA-109688;Cleavage of Growing Transcript in the Termination Region 
R-HSA-110331;Cleavage of the damaged purine
R-HSA-110329;Cleavage of the damaged pyrimidine 
R-HSA-196741;Cobalamin (Cbl, vitamin B12) transport and metabolism
R-HSA-196783;Coenzyme A biosynthesis
R-HSA-2470946;Cohesin Loading onto Chromatin
R-HSA-1650814;Collagen biosynthesis and modifying enzymes
R-HSA-8948216;Collagen chain trimerization
R-HSA-1442490;Collagen degradation
R-HSA-1474290;Collagen formation
R-HSA-140875;Common Pathway of Fibrin Clot Formation
R-HSA-8948700;Competing endogenous RNAs (ceRNAs) regulate PTEN translation
R-HSA-166658;Complement cascade
R-HSA-6799198;Complex I biogenesis
R-HSA-2514853;Condensation of Prometaphase Chromosomes
R-HSA-2299718;Condensation of Prophase Chromosomes
R-HSA-177135;Conjugation of benzoate with glycine
R-HSA-159424;Conjugation of carboxylic acids
R-HSA-177162;Conjugation of phenylacetate with glutamine
R-HSA-177128;Conjugation of salicylate with glycine
R-HSA-5674400;Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-2219530;Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-5637810;Constitutive Signaling by EGFRvIII
R-HSA-1236382;Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
R-HSA-2691232;Constitutive Signaling by NOTCH1 HD Domain Mutants
R-HSA-2894862;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
R-HSA-2644606;Constitutive Signaling by NOTCH1 PEST Domain Mutants
R-HSA-2660826;"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"
R-HSA-176407;Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
R-HSA-6814122;Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
R-HSA-389958;Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
R-HSA-388841;Costimulation by the CD28 family
R-HSA-71288;Creatine metabolism
R-HSA-166786;Creation of C4 and C2 activators
R-HSA-8949613;Cristae formation
R-HSA-1236973;Cross-presentation of particulate exogenous antigens (phagosomes)
R-HSA-1236978;Cross-presentation of soluble exogenous antigens (endosomes)
R-HSA-2243919;Crosslinking of collagen fibrils
R-HSA-69273;Cyclin A/B1/B2 associated events during G2/M transition
R-HSA-69656;Cyclin A:Cdk2-associated events at S phase entry
R-HSA-69231;Cyclin D associated events in G1
R-HSA-69202;Cyclin E associated events during G1/S transition 
R-HSA-1614603;Cysteine formation from homocysteine
R-HSA-211897;Cytochrome P450 - arranged by substrate type
R-HSA-111461;Cytochrome c-mediated apoptotic response
R-HSA-1280215;Cytokine Signaling in Immune system
R-HSA-2564830;Cytosolic iron-sulfur cluster assembly
R-HSA-1834949;Cytosolic sensors of pathogen-associated DNA 
R-HSA-156584;Cytosolic sulfonation of small molecules
R-HSA-379716;Cytosolic tRNA aminoacylation
R-HSA-1489509;DAG and IP3 signaling
R-HSA-2172127;DAP12 interactions
R-HSA-2424491;DAP12 signaling
R-HSA-180024;DARPP-32 events
R-HSA-418885;DCC mediated attractive signaling
R-HSA-168928;DDX58/IFIH1-mediated induction of interferon-alpha/beta
R-HSA-3134963;DEx/H-box helicases activate type I IFN and inflammatory cytokines production 
R-HSA-73893;DNA Damage Bypass
R-HSA-5696394;DNA Damage Recognition in GG-NER
R-HSA-73942;DNA Damage Reversal
R-HSA-2559586;DNA Damage/Telomere Stress Induced Senescence
R-HSA-5693606;DNA Double Strand Break Response
R-HSA-5693532;DNA Double-Strand Break Repair
R-HSA-73894;DNA Repair
R-HSA-69306;DNA Replication
R-HSA-69002;DNA Replication Pre-Initiation
R-HSA-5334118;DNA methylation
R-HSA-68952;DNA replication initiation
R-HSA-69190;DNA strand elongation
R-HSA-376172;DSCAM interactions
R-HSA-3769402;Deactivation of the beta-catenin transactivating complex
R-HSA-429947;Deadenylation of mRNA
R-HSA-429914;Deadenylation-dependent mRNA decay
R-HSA-73887;Death Receptor Signalling
R-HSA-5607761;Dectin-1 mediated noncanonical NF-kB signaling
R-HSA-5621480;Dectin-2 family
R-HSA-5682113;Defective ABCA1 causes Tangier disease
R-HSA-5682294;Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B
R-HSA-5688399;Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3)
R-HSA-5683678;Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3)
R-HSA-5678520;Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2
R-HSA-5678771;Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1
R-HSA-5683371;Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)
R-HSA-5679001;Defective ABCC2 causes Dubin-Johnson syndrome
R-HSA-5690338;Defective ABCC6 causes pseudoxanthoma elasticum (PXE)
R-HSA-5683177;Defective ABCC8 can cause hypoglycemias and hyperglycemias
R-HSA-5678420;Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia
R-HSA-5684045;Defective ABCD1 causes adrenoleukodystrophy (ALD)
R-HSA-5683329;Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)
R-HSA-5679096;Defective ABCG5 causes sitosterolemia
R-HSA-5679090;Defective ABCG8 causes gallbladder disease 4 and sitosterolemia
R-HSA-5579031;Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)
R-HSA-5579007;Defective ACY1 causes encephalopathy
R-HSA-5578997;Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)
R-HSA-4549380;Defective ALG1 causes ALG1-CDG (CDG-1k)
R-HSA-4551295;Defective ALG11 causes ALG11-CDG (CDG-1p)
R-HSA-4720489;Defective ALG12 causes ALG12-CDG (CDG-1g)
R-HSA-5633231;Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)
R-HSA-4549349;Defective ALG2 causes ALG2-CDG (CDG-1i)
R-HSA-4720475;Defective ALG3 causes ALG3-CDG (CDG-1d)
R-HSA-4724289;Defective ALG6 causes ALG6-CDG (CDG-1c)
R-HSA-4724325;Defective ALG8 causes ALG8-CDG (CDG-1h)
R-HSA-4720454;Defective ALG9 causes ALG9-CDG (CDG-1l)
R-HSA-3359462;Defective AMN causes hereditary megaloblastic anemia 1
R-HSA-5619099;Defective AVP causes neurohypophyseal diabetes insipidus (NDI)
R-HSA-4420332;Defective B3GALT6 causes EDSP2 and SEMDJL1
R-HSA-5083635;Defective B3GALTL causes Peters-plus syndrome (PpS)
R-HSA-3560801;Defective B3GAT3 causes JDSSDHD
R-HSA-3656244;Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)
R-HSA-4793953;Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)
R-HSA-3560783;Defective B4GALT7 causes EDS, progeroid type
R-HSA-3371598;Defective BTD causes biotidinase deficiency
R-HSA-5083632;Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)
R-HSA-3359485;Defective CD320 causes methylmalonic aciduria
R-HSA-5678895;Defective CFTR causes cystic fibrosis
R-HSA-3595174;Defective CHST14 causes EDS, musculocontractural type
R-HSA-3595172;Defective CHST3 causes SEDCJD
R-HSA-3656225;Defective CHST6 causes MCDC1
R-HSA-3595177;Defective CHSY1 causes TPBS
R-HSA-5619060;Defective CP causes aceruloplasminemia (ACERULOP)
R-HSA-5688890;Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)
R-HSA-5688849;Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)
R-HSA-3359463;Defective CUBN causes hereditary megaloblastic anemia 1
R-HSA-5579026;Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)
R-HSA-5579017;Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)
R-HSA-5579009;Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)
R-HSA-5579028;Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)
R-HSA-5579030;Defective CYP19A1 causes Aromatase excess syndrome (AEXS)
R-HSA-5579000;Defective CYP1B1 causes Glaucoma
R-HSA-5579021;Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)
R-HSA-5579010;Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)
R-HSA-5579015;Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)
R-HSA-5579004;Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)
R-HSA-5578996;Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)
R-HSA-5579014;Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)
R-HSA-5579027;Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)
R-HSA-5579011;Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)
R-HSA-5579005;Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)
R-HSA-5579013;Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)
R-HSA-4755609;Defective DHDDS causes retinitis pigmentosa 59
R-HSA-4755583;Defective DOLK causes DOLK-CDG (CDG-1m)
R-HSA-4549356;Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2
R-HSA-4717374;Defective DPM1 causes DPM1-CDG (CDG-1e)
R-HSA-4719377;Defective DPM2 causes DPM2-CDG (CDG-1u)
R-HSA-4719360;Defective DPM3 causes DPM3-CDG (CDG-1o)
R-HSA-3656253;Defective EXT1 causes exostoses 1, TRPS2 and CHDS
R-HSA-3656237;Defective EXT2 causes exostoses 2
R-HSA-5579019;Defective FMO3 causes Trimethylaminuria (TMAU)
R-HSA-5609977;Defective GALE can cause Epimerase-deficiency galactosemia (EDG)
R-HSA-5609976;Defective GALK1 can cause Galactosemia II (GALCT2)
R-HSA-5083636;Defective GALNT12 causes colorectal cancer 1 (CRCS1)
R-HSA-5083625;Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)
R-HSA-5609978;Defective GALT can cause Galactosemia
R-HSA-5619073;Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)
R-HSA-5578999;Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)
R-HSA-4085023;Defective GFPT1 causes CMSTA1
R-HSA-5579022;Defective GGT1 causes Glutathionuria (GLUTH)
R-HSA-3359457;Defective GIF causes intrinsic factor deficiency
R-HSA-4085011;Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2
R-HSA-5579006;Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)
R-HSA-5619056;Defective HK1 causes hexokinase deficiency (HK deficiency)
R-HSA-3371599;Defective HLCS causes multiple carboxylase deficiency
R-HSA-5083627;Defective LARGE causes MDDGA6 and MDDGB6
R-HSA-5083630;Defective LFNG causes SCDO3
R-HSA-3359458;Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF
R-HSA-4793950;Defective MAN1B1 causes MRT15
R-HSA-5579012;Defective MAOA causes Brunner syndrome (BRUNS)
R-HSA-5579024;Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)
R-HSA-4793952;Defective MGAT2 causes MGAT2-CDG (CDG-2a)
R-HSA-3359475;Defective MMAA causes methylmalonic aciduria type cblA
R-HSA-3359471;Defective MMAB causes methylmalonic aciduria type cblB
R-HSA-3359474;Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC
